Suomi,English
tahansa ,whatever 
kyse ,about 
oliko ,was 
hiljaa ,quietly 
minuun ,to me 
iso ,big 
läpi ,through 
yritän ,I'm trying 
voisin ,i could 
ymmärrän ,I see 
neiti ,miss 
kiltti ,kind 
heille ,them 
tullut ,came 
John ,John 
halusin ,I wanted to 
asioita ,things 
kunnes ,until 
asiaa ,matter 
menossa ,on 
täysin ,completely 
otan ,I will take 
luulet ,you think 
puhu ,talk 
riittää ,suffice 
hitto ,deuce 
ettet ,you don't 
neljä ,four 
kohta ,paragraph 
silti ,still 
tarkoitan ,i mean 
jumala ,God 
dollaria ,dollars 
jokin ,one 
luuletko ,Do you think 
löytää ,find 
poissa ,away 
minuuttia ,minutes 
nimi ,name 
olisit ,you would be 
hyvältä ,good 
miltä ,how 
menkää ,go 
mukana ,with 
asti ,until 
pysty ,upright 
sama ,same 
soittaa ,call 
isäsi ,your father 
ensimmäinen ,first 
jossa ,where 
kaunis ,beautiful 
käyttää ,use 
vittu ,damn 
näen ,i see 
tarkoitat ,you mean 
kapteeni ,captain 
melkein ,almost 
rahat ,money 
muuten ,otherwise 
kello ,clock 
helvetti ,hell 
yrittää ,try 
nuo ,those 
toivottavasti ,hopefully 
tulin ,i came 
tänä ,this 
mukava ,comfortable 
kerron ,I will tell 
oikeasti ,for real 
poliisi ,police 
vasta ,only 
kuoli ,died in 
pikku ,little 
näytä ,show 
tunnen ,I feel 
sanoo ,says 
vauhtia ,speed 
kanssani ,with me 
siltä ,bridge 
sieltä ,from there 
valmiina ,at the ready 
tunne ,feeling 
saanko ,can i 
kuullut ,heard 
tiennyt ,knew 
vuoden ,a year 
tapa ,way 
ainakin ,at least 
puhut ,you speak 
uskoa ,believe 
suoraan ,directly 
niistä ,of them 
sait ,you got 
kuulin ,I heard 
varten ,for 
katsokaa ,take a look 
hullu ,crazy 
haloo ,Hello 
kuulostaa ,sound 
tarvitsemme ,we need 
auta ,help me 
näytät ,you show 
meistä ,about us 
kuitenkin ,however 
sellaista ,that kind of thing 
voitte ,you win 
hieno ,fine 
asiat ,things 
olkaa ,be 
ystäväni ,my friend 
pojat ,boys 
muut ,other 
halunnut ,wanted to 
töitä ,work 
auto ,car 
samaa ,the same 
päivän ,of the day 
hyvät ,ladies 
kanssaan ,with him 
tervetuloa ,welcome 
mieltä ,mind 
toisen ,another one 
jopa ,even 
asian ,thing 
maailman ,world 
jätä ,drift net 
yhtään ,any 
mikset ,why don't you 
liikaa ,over- 
mä ,me 
paitsi ,except 
kuulla ,hear 
näe ,see 
viitsi ,I'm sorry 
pakko ,forced 
yritä ,try 
yötä ,night 
eli ,or 
osa ,part 
hauska ,fun 
vuoksi ,because of 
vitun ,fucking 
palaa ,burn 
kertoi ,told 
tehdään ,will be done 
tuntia ,hours 
viimeinen ,last 
new ,new 
ongelma ,problem 
onnea ,Good luck 
päivänä ,on the day 
kaikkea ,everything 
annan ,i give 
suuri ,large 
sanon ,I say 
uuden ,new 
terve ,healthy 
erittäin ,very 
muistatko ,Do you remember 
kertonut ,told 
kotona ,at home 
ase ,gun 
tarvitsee ,needs 
jolla ,whereby 
parasta ,the best 
rauhoitu ,Take it easy 
tietysti ,Of course 
kuule ,Listen 
sinuun ,to you 
saamme ,we get 
unohda ,forget it 
maksaa ,pay 
huomenta ,Good morning 
elää ,live 
tapahtunut ,happened 
aikaan ,at the time 
välitä ,choose 
soita ,call 
niiden ,their 
lähdetään ,let's go 
äitisi ,your mother 
uskon ,I believe 
kiva ,nice 
työtä ,work 
sille ,for it 
aio ,going to 
kovin ,very 
lähellä ,near 
aion ,I'm going to 
miestä ,a man 
hetkinen ,Wait a minute 
eilen ,yesterday 
tiesin ,I knew 
jättää ,leave 
uudestaan ,re- 
oikeastaan ,really 
päälle ,on 
menemme ,we go 
tulevat ,are coming 
voitko ,can you 
ovi ,door 
sehän ,that's it 
monta ,various 
tavalla ,way 
asiassa ,in the matter 
löysin ,i found 
olimme ,we were 
heillä ,they have 
avaa ,open 
molemmat ,both 
miehet ,gentlemen 
teistä ,of you 
sanonut ,said 
minulta ,from me 
sisällä ,indoors 
ensi ,next 
tiedämme ,we know 
tietenkin ,Of course 
helvettiä ,damn it 
ongelmia ,problems 
jää ,ice 
paskiainen ,son of a bitch 
takana ,double cloth 
heistä ,of them 
soitan ,I'm calling 
kaikkien ,of everyone 
ihminen ,man 
vaivaa ,trouble 
aiot ,you are going to 
lapset ,issue 
olemaan ,to be 
pääse ,get in 
uudelleen ,again 
joita ,whom 
toki ,Sure 
eri ,different 
muita ,others 
poikani ,my son 
iltana ,in the evening 
viedä ,export 
väliä ,matter 
nimeni ,my name 
menet ,you go 
äitini ,my mother 
voisitko ,will you please 
ai ,Oh 
paha ,evil 
laita ,wing 
tarvitset ,you need 
antakaa ,please give 
kuusi ,six 
hoitaa ,manage 
lähde ,source 
sellainen ,such 
kysyä ,ask 
haluavat ,want to 
jäädä ,stay 
kuolla ,die 
sinulta ,from you 
naiset ,ladies 
tuossa ,there 
paremmin ,better 
vastaa ,answers 
huono ,bad 
sanot ,you say 
ala ,do not 
hätää ,don't worry 
tulet ,you will 
tunnin ,-hour 
näitä ,these 
ulkona ,outdoors 
oma ,own 
pidät ,you like 
elossa ,alive 
voisit ,you could 
saattaa ,may 
näetkö ,You see 
herrat ,messrs 
väärin ,wrong 
toivon ,I hope 
tekemään ,to do 
mr ,Mr 
muka ,supposedly 
mahtavaa ,awesome 
katsomaan ,to watch 
hätänä ,up 
voivat ,they can 
homma ,business 
tyyppi ,type 
etkä ,and you don't 
kahden ,the two of you 
DivX Finland ,DivX Finland 
sopii ,fits 
luo ,round 
taitaa ,know 
haluatte ,you want 
antoi ,gave 
lapsi ,child 
toimi ,action 
voisimme ,we could 
lopettaa ,stop 
naisen ,a woman 
odottakaa ,please wait 
vuonna ,in the year 
toimii ,works 
tulit ,you came 
syytä ,the reason 
hetken ,for a moment 
olleet ,have been 
frank ,franc 
kävi ,happened 
kymmenen ,ten 
aamulla ,in the morning 
tehty ,made 
halusi ,wanted 
jokainen ,every 
kunhan ,as long as 
kysymys ,question 
maan ,terrestrial 
org ,org 
ymmärrätkö ,Do you understand 
ok ,alright 
kaikille ,to everyone 
helvetin ,fucking 
hakemaan ,to apply 
lähden ,i'm leaving 
sam ,same 
muistan ,i remember 
seuraa ,will follow 
samoin ,likewise 
tappoi ,killed 
sekä ,mixed 
maahan ,down 
käydä ,visit 
aiemmin ,previously 
tärkeää ,important 
nimesi ,your name 
kenraali ,general 
Michael ,Michael 
teette ,you do 
häneen ,to him 
puoli ,half 
puhun ,I'm talking 
kestää ,take 
mahdollista ,possible 
aikana ,during 
ruokaa ,food 
uutta ,new 
yritin ,i tried 
katsoa ,look 
verta ,blood 
kestä ,endure 
onkin ,it is 
olekin ,I am 
lupaan ,I promise 
presidentti ,president 
istu ,sit down 
hyviä ,good ones 
tekevät ,they do 
täynnä ,full 
hoidan ,I'll take care 
tekstityksen ,subtitles 
sä ,you 
charlie ,Charlie 
vaikea ,difficult 
etsin ,viewfinder 
vaimoni ,my wife 
auton ,car 
naimisiin ,get married 
liikettä ,movement 
tytön ,a girl 
elämä ,life 
tiedäthän ,you know 
auki ,open 
sinäkin ,you too 
saimme ,we got 
varo ,precautionary 
kaikkia ,everyone 
taida ,guess 
kenen ,whose 
tehtävä ,task 
elämäni ,my life 
sanotaan ,it is said 
kultaseni ,sweetheart 
agentti ,agent 
puolesta ,on behalf of 
vettä ,water 
paikan ,place 
nuori ,young 
joko ,either 
ihmisten ,of people 
kusipää ,cunt 
muu ,other 
eversti ,colonel 
kaverit ,guys 
nimensä ,his name 
muuttaa ,change 
voittaa ,win 
onneksi ,fortunately 
näet ,you see 
luota ,from 
pitkä ,long 
alla ,below 
palata ,return 
tapauksessa ,case 
mukavaa ,nice 
saatte ,you can 
josta ,whereof 
uskomatonta ,beyond belief 
turvassa ,in security 
lapsia ,children 
ovatko ,are they 
tapan ,I will kill 
ystäviä ,friends 
jatkaa ,continue 
paikalla ,on the spot 
luottaa ,trust 
matkalla ,en route 
ottakaa ,take it 
olemassa ,exist 
tuonne ,there 
päällä ,on 
ympäri ,around 
ollaan ,let's be 
päin ,towards 
outoa ,strange 
töissä ,at work 
tilanne ,situation 
kaukana ,far 
päässä ,off 
kuolee ,dies 
väärässä ,wrong 
oman ,own 
paljonko ,how much 
Harry ,Harry 
ystävä ,friend 
numero ,number 
Jeesus ,Jesus 
pomo ,boss 
eihän ,no 
pelastaa ,save 
tulisi ,would come 
pyytää ,request 
lähti ,Lahti 
tuskin ,hardly 
velkaa ,indebted 
yleensä ,usually 
töihin ,to work 
jumalan ,of god 
kädet ,hands 
tytöt ,the girls 
näytän ,i show 
luultavasti ,probably 
edessä ,in front 
saisi ,would get 
loppu ,end 
kautta ,through 
jäljellä ,left 
haluaisi ,would like 
vaikuttaa ,influence 
jossain ,somewhere 
muutaman ,a few 
pitäkää ,keep 
paskaa ,crap 
maailma ,world 
iloinen ,cheerful 
paskat ,shit 
vaikeaa ,difficult 
sinähän ,it's you 
käynyt ,visited 
tuosta ,of that 
pelkää ,be afraid 
kunnon ,good 
olenko ,am i 
eteenpäin ,ahead 
itsensä ,itself 
seuraava ,next 
miksei ,why not 
alkoi ,started 
jotkut ,some 
huolta ,care 
helppoa ,easy 
haluamme ,we want 
kerta ,time 
pääsi ,flagstone 
kerroin ,factor 
itsesi ,yourself 
yhteen ,together 
loppuun ,out 
FBI ,FBI 
haista ,smell 
mahtava ,spectacular 
sentään ,yet 
jatka ,jack 
idea ,idea 
todellakin ,indeed 
lähtee ,leaves 
toista ,repeat 
ikävä ,tedious 
tom ,Tom 
alle ,under 
puhuu ,speaks 
olkoon ,so be it 
luona ,by 
tosiaan ,really 
veljeni ,my brother 
myöhässä ,late 
häneltä ,from her 
seis ,Stop 
ajaa ,drive 
itseäsi ,yourself 
aiotko ,Are you going to 
mike ,Mike 
minuutin ,a minute 
saavat ,get 
etsi ,search 
syö ,eat 
itseni ,myself 
huoli ,worry 
kohti ,towards 
vien ,export 
eräs ,one 
pysykää ,stay 
nouse ,get up 
alan ,industry 
syy ,reason 
miehiä ,men 
seitsemän ,seven 
ymmärtää ,understand 
rakastaa ,love 
haittaa ,harm 
ammu ,shoot 
ajattele ,Just think 
katsotaan ,wait and see 
yritti ,tried 
yhteyttä ,contact us 
jutella ,chat 
haen ,I apply 
kuukautta ,months 
välillä ,between 
David ,David 
puolella ,on the side of 
kuluttua ,after 
muutama ,one or two 
sisälle ,inside 
melko ,quite 
niinpä ,so 
käytä ,use 
pysyä ,stay 
ettekö ,don't you 
ystäväsi ,your friend 
yönä ,at night 
syödä ,eat 
kuulu ,belong 
miljoonaa ,million 
viikon ,a week 
samalla ,in the process 
pojan ,of a boy 
Jimmy ,Jimmy 
peter ,peter 
häivy ,Get lost 
Joe ,Joe 
selville ,find out 
jutun ,the thing 
pitkään ,long 
odotan ,I'm waiting 
George ,George 
selittää ,explain 
taidan ,I guess 
kysy ,ask 
vihainen ,mad 
illalla ,in the evening 
suomennos ,Finnish translation 
viimeksi ,last 
mennyt ,gone 
onpa ,it is 
tekisi ,would do 
laittaa ,put 
-vuotias ,-year old 
minähän ,it's me 
kuulemma ,reportedly 
mielestäni ,I think 
viikkoa ,a week 
kuningas ,king 
lähtien ,since 
vihaan ,i hate 
ostaa ,buy 
täydellinen ,perfect 
tyhmä ,stupid 
kahdeksan ,eight 
usein ,often 
kertoo ,tells 
kohtaan ,towards 
selvää ,clear 
hetkellä ,at the moment 
katson ,I look 
ajatus ,idea 
pitäisikö ,should 
james ,james 
tietoa ,information 
ketä ,who 
rauhaan ,in peace 
totuus ,truth 
ben ,ben 
hae ,apply 
sattuu ,it hurts 
auttakaa ,please help 
mentävä ,to go 
idiootti ,idiot 
tarjoaa ,offers 
kaikesta ,of everything 
kaupungin ,town's 
pidätkö ,do you like 
kiitoksia ,thank you 
aloittaa ,start 
millainen ,what kind of 
tärkeä ,important 
mieheni ,my husband 
pelkkä ,mere 
saman ,the same 
helvettiin ,to hell 
rakas ,love 
talon ,the house 
tekemistä ,things to do 
oltava ,to be 
tällaista ,like this 
rauhallisesti ,quietly 
talo ,house 
tapaamaan ,to meet 
soitti ,called 
tekeillä ,afoot 
turpa ,chub 
tv ,TV 
koira ,dog 
pää ,head 
mestari ,Master 
keitä ,who 
viikolla ,during the week 
pääsee ,can be reached 
varovainen ,careful 
näkee ,sees 
johtaa ,lead 
lähdemme ,we're leaving 
enpä ,I don't 
hittoa ,damn it 
johtaja ,manager 
the ,the 
veli ,brother 
kerralla ,at once 
lähettää ,send 
tietävät ,know 
palaan ,I'll be back 
ylpeä ,proud 
suurin ,major 
ampua ,shoot 
tony ,Tony 
jotenkin ,somehow 
enempää ,any more 
elämän ,life 
sairas ,sick 
naimisissa ,married 
taakse ,behind 
pääsemme ,we will get 
tiedätte ,you know 
uutisia ,news 
vapaa ,free 
kahvia ,coffee 
kunnolla ,properly 
tuohon ,to that 
otti ,took 
tietenkään ,of course 
suunnitelma ,plan 
autoon ,to the car 
ellei ,unless 
edelleen ,still 
tajua ,realize 
kovasti ,hard 
onnellinen ,happy 
jälleen ,again 
vei ,took 
annoin ,i gave 
lopettakaa ,stop it 
jätti ,giant 
estää ,prevent 
kauanko ,how long 
pahaa ,bad 
tarina ,story 
elämää ,life 
pane ,put 
antanut ,given 
tietä ,road 
ihmistä ,people 
voimmeko ,can we 
musta ,black 
ole ,don't be 
kuuletko ,do you hear 
tappanut ,killed 
tiedättekö ,you know 
mukaani ,along with me 
rauhassa ,in peace 
haluatteko ,do you want 
sekuntia ,seconds 
mietin ,I'm thinking 
tarvitaan ,is needed 
koske ,touch 
tunnet ,you know 
helvetissä ,in hell 
ilta ,evening 
mun ,mine 
mahdollisuus ,possibility 
lääkäri ,doctor 
käyn ,i'm going 
tyttäreni ,my daughter 
äidin ,maternal 
asiasta ,about the matter 
pääset ,you can 
tarkoitus ,purpose 
lähetti ,messenger 
Paul ,Paul 
laske ,calculate 
alusta ,chassis 
loistavaa ,brilliant 
millä ,whereby 
esiin ,out 
viesti ,message 
aja ,drive 
yrität ,you try 
vannon ,i swear 
max ,max 
oikoluku ,proofreading 
loistava ,glorious 
ajatella ,to think 
ilmeisesti ,apparently 
herää ,Wake up 
arvaa ,guess 
iltaa ,evening 
painu ,depression 
äkkiä ,short 
bob ,bob 
ajatellut ,thought about 
nukkumaan ,to sleep 
vieläkin ,even 
totuuden ,the truth 
osaan ,I can 
otetaan ,will be taken 
yön ,night 
näitkö ,Did you see 
taisi ,I guess 
sekaisin ,tumbled 
tiesi ,knew 
eteen ,in front of 
onnistu ,succeed 
hyvän ,good 
perhe ,family 
teimme ,we did 
eroon ,get rid of 
näkemiin ,Goodbye 
tahdon ,I want to 
vuosi ,year 
löydä ,find 
ihmisen ,human 
viekää ,take it 
olekaan ,I'm not 
mahdotonta ,out 
juokse ,run 
isän ,paternal 
ainakaan ,at least 
muiden ,others 
mitäs ,what 
mihinkään ,anywhere 
kuunnelkaa ,listen 
halusit ,you wanted 
uskonut ,believed 
maailmassa ,in the world 
puhutaan ,let's talk 
selvittää ,sort out 
jake ,verse 
vuosia ,for years 
olisivat ,would be 
löytyy ,can be found 
unta ,sleep 
vaimo ,wife 
otin ,i took 
etsimään ,to look for 
hra ,Mr 
maassa ,on the ground 
oven ,the door 
etsiä ,search 
tri ,dr 
Alex ,Alex 
kaikista ,of all 
jostain ,from something 
kolmen ,three 
näki ,saw 
tehneet ,have done 
kätesi ,your hand 
omaa ,own 
tiesit ,you knew 
paikkaa ,place 
tuoda ,bring 
asuu ,lives 
enkö ,don't i 
avulla ,through 
puhunut ,spoke 
puhumaan ,to talk 
leikkiä ,play 
pitävät ,like 
jokaisen ,each one 
pidetään ,is held 
tähden ,for the sake of 
tien ,road 
peli ,game 
sun ,sun 
tälle ,for this 
sota ,war 
päähän ,on 
noita ,witch 
löysimme ,we found 
Johnny ,Johnny 
menin ,i went 
hyvästi ,Goodbye 
näistä ,of these 
ikuisesti ,forever 
bill ,bill 
ensimmäisen ,the first one 
pyydä ,ask for 
jonkin ,something 
lisäksi ,in addition 
lapsen ,of the child 
keskellä ,in the middle 
pääsen ,i can 
lukea ,read 
kenenkään ,nobody 
pystyt ,you can 
aikoo ,will 
liiku ,move 
järkeä ,make sense 
kuulitko ,Did you hear 
jäi ,remained 
paikkaan ,to the place 
luojan ,the creator 
kenelle ,to whom 
vittua ,damn 
ainoastaan ,only 
kaupunki ,city 
todellako ,Really 
ray ,ray 
parempaa ,better 
minäkään ,me too 
toin ,i brought 
ihan ,quite 
myöhäistä ,late 
todellakaan ,indeed 
pystyn ,i can 
sanovat ,they say 
seuraavaksi ,next 
lähes ,nearly 
kuva ,picture 
maa ,country 
kuolema ,death 
itseään ,itself 
näit ,you saw 
Sarah ,Sarah 
hiukan ,a little 
lupaa ,promise 
toi ,brought 
suuntaan ,in the direction of 
tavallaan ,kind of 
yrittänyt ,tried 
pyysi ,asked 
pienen ,a small one 
tilaa ,Vacancy 
kova ,hard 
saisinko ,could i 
unohtaa ,forget 
ethän ,you don't 
vankilaan ,to prison 
käymään ,to visit 
näytti ,seemed 
kirjoittaa ,write 
luutnantti ,lieutenant 
tosissasi ,seriously 
naisia ,women 
autan ,i will help 
olevansa ,being 
käske ,command 
takaa ,from behind 
varovasti ,carefully 
montako ,how many 
professori ,professor 
puolet ,half 
paikassa ,in the place 
ulkopuolella ,outside 
henry ,henry 
kesken ,between 
nykyään ,today 
mennyttä ,the past 
puhuin ,i spoke 
auttamaan ,to help 
tunnetko ,You know 
loput ,the rest 
työ ,work 
upea ,magnificent 
äläkä ,and don't 
vialla ,wrong 
asiaan ,to the point 
Danny ,Danny 
unohdin ,i forgot 
uusia ,renew 
hengissä ,alive 
todistaa ,evidence 
tietoja ,information 
valmista ,ready 
paikalle ,to the place 
isänsä ,his father 
valitettavasti ,unfortunately 
olisimme ,we would be 
mieluummin ,rather 
olitte ,you were 
millaista ,what kind of 
tieltä ,from the road 
mutten ,but not 
ihana ,wonderful 
pysähdy ,stop 
autossa ,in the car 
tehkää ,please do 
ihme ,wonder 
seksiä ,sex 
valita ,choose 
välittömästi ,direct 
luokse ,with 
vitsi ,joke 
niille ,them 
sepä ,blacksmith 
luulee ,thinks 
helppo ,easy 
naista ,woman 
vedä ,Pull 
silmät ,the eyes 
toisella ,on the other 
aseita ,weapons 
maata ,lie 
lopulta ,eventually 
kiire ,hurry 
tulemme ,we will come 
päästäkää ,let's go 
kiitti ,thank you 
vaimosi ,your wife 
kenellekään ,to anyone 
riitä ,dispute 
majuri ,major 
löysi ,found 
veljesi ,your brother 
käski ,casque 
käskin ,I ordered 
saitko ,Did you get 
kutsutaan ,is called 
tarkoita ,mean 
matka ,travel 
vetää ,pull 
yhdeksän ,nine 
kuoleman ,deadly 
hetkeksi ,for a while 
huone ,room 
poliisit ,the police officers 
huolehdi ,take care 
sana ,word 
olevasi ,that you are 
huoneessa ,in the room 
matkaa ,trip 
san ,say 
Clark ,Clark 
viimeisen ,the last one 
pelkään ,I'm afraid 
tiedot ,information 
oikeus ,legal 
yllätys ,surprise 
viestin ,the message 
varmaankin ,probably 
todisteita ,evidence 
tapasin ,i met 
Mary ,Mary 
löytänyt ,found 
nukkua ,sleep 
kaikilla ,everyone 
kertokaa ,tell me 
pysäyttää ,stop 
billy ,Billy 
näiden ,of these 
menemään ,to go 
typerä ,silly 
päättää ,decide 
autoa ,car 
päässyt ,reached 
olen ,I am 
jep ,yep 
tuhota ,destroy 
loppuu ,ends 
kaupungissa ,in town 
kutsua ,call 
tavannut ,met 
bobby ,Bobby 
hullua ,crazy 
ollenkaan ,at all 
johon ,to which 
toiseen ,to another 
poliisin ,the police 
kaunista ,beautiful 
hoida ,take care of 
aikaisemmin ,earlier 
vähemmän ,less 
juo ,drink 
löydämme ,we find 
suhteen ,regarding 
vahva ,strong 
tulta ,Fire 
siistiä ,clean 
henkilö ,person 
etsimme ,we are looking for 
haluaisitko ,would you like 
toimia ,act 
etsivä ,detective 
kiittää ,thank 
valmiiksi ,ready 
nälkä ,hunger 
sairaalaan ,to the hospital 
annat ,you give 
poliisille ,to the police 
tekevän ,doing 
Jim ,Jim 
lukee ,reads 
mieti ,think 
vankilassa ,inside 
sodan ,of war 
aseen ,the gun 
tulivat ,came 
onhan ,it is 
tapahtua ,happen 
kylmä ,cold 
varaa ,reserve 
aseet ,arms 
johtuu ,due to 
kerrot ,you tell 
tuntui ,felt 
syömään ,to eat 
ehdottomasti ,absolutely 
hakea ,seek 
käänny ,turn around 
sopiiko ,is it ok 
itseäni ,myself 
metriä ,meters 
hyväksi ,for 
vaarallista ,dangerous 
sopimus ,agreement 
tapoit ,you killed 
lasta ,spatula 
sulje ,bracket 
lentää ,fly 
kuvitella ,imagine 
päiväys ,date 
työn ,of work 
mennessä ,by 
talossa ,in the house 
pitkälle ,far 
samaan ,to the same 
voidaan ,can be 
tarkoitatko ,You mean 
kunpa ,if only 
kiirettä ,rush 
toisin ,otherwise 
poikki ,across 
monet ,many 
pidin ,holder 
lyö ,hit 
huonosti ,poorly 
pelata ,play 
nopeammin ,faster 
pitämään ,to keep 
