Unnamed: 0,Suomi,English
602,paskiainen ,son of a bitch 
603,takana ,double cloth 
604,heistä ,of them 
605,soitan ,I'm calling 
606,kaikkien ,of everyone 
607,ihminen ,man 
608,vaivaa ,trouble 
609,aiot ,you are going to 
610,lapset ,issue 
611,olemaan ,to be 
612,pääse ,get in 
613,uudelleen ,again 
614,joita ,whom 
615,toki ,Sure 
616,eri ,different 
617,muita ,others 
618,poikani ,my son 
619,iltana ,in the evening 
620,viedä ,export 
621,väliä ,matter 
622,nimeni ,my name 
623,menet ,you go 
624,äitini ,my mother 
625,voisitko ,will you please 
626,ai ,Oh 
627,paha ,evil 
628,laita ,wing 
629,tarvitset ,you need 
630,antakaa ,please give 
631,kuusi ,six 
632,hoitaa ,manage 
633,lähde ,source 
634,sellainen ,such 
635,kysyä ,ask 
636,haluavat ,want to 
637,jäädä ,stay 
638,kuolla ,die 
639,sinulta ,from you 
640,naiset ,ladies 
641,tuossa ,there 
642,paremmin ,better 
643,vastaa ,answers 
644,huono ,bad 
645,sanot ,you say 
646,ala ,do not 
647,hätää ,don't worry 
648,tulet ,you will 
649,tunnin ,-hour 
650,näitä ,these 
651,ulkona ,outdoors 
652,oma ,own 
653,pidät ,you like 
654,elossa ,alive 
655,voisit ,you could 
656,saattaa ,may 
657,näetkö ,You see 
658,herrat ,messrs 
659,väärin ,wrong 
660,toivon ,I hope 
661,tekemään ,to do 
662,mr ,Mr 
663,muka ,supposedly 
664,mahtavaa ,awesome 
665,katsomaan ,to watch 
666,hätänä ,up 
667,voivat ,they can 
668,homma ,business 
669,tyyppi ,type 
670,etkä ,and you don't 
671,kahden ,the two of you 
672,DivX Finland ,DivX Finland 
673,sopii ,fits 
674,luo ,round 
675,taitaa ,know 
676,haluatte ,you want 
677,antoi ,gave 
678,lapsi ,child 
679,toimi ,action 
680,voisimme ,we could 
681,lopettaa ,stop 
682,naisen ,a woman 
683,odottakaa ,please wait 
684,vuonna ,in the year 
685,toimii ,works 
686,tulit ,you came 
687,syytä ,the reason 
688,hetken ,for a moment 
689,olleet ,have been 
690,frank ,franc 
691,kävi ,happened 
692,kymmenen ,ten 
693,aamulla ,in the morning 
694,tehty ,made 
695,halusi ,wanted 
696,jokainen ,every 
697,kunhan ,as long as 
698,kysymys ,question 
699,maan ,terrestrial 
700,org ,org 
701,ymmärrätkö ,Do you understand 
702,ok ,alright 
703,kaikille ,to everyone 
704,helvetin ,fucking 
705,hakemaan ,to apply 
706,lähden ,i'm leaving 
707,sam ,same 
708,muistan ,i remember 
709,seuraa ,will follow 
710,samoin ,likewise 
711,tappoi ,killed 
712,sekä ,mixed 
713,maahan ,down 
714,käydä ,visit 
715,aiemmin ,previously 
716,tärkeää ,important 
717,nimesi ,your name 
718,kenraali ,general 
719,Michael ,Michael 
720,teette ,you do 
721,häneen ,to him 
722,puoli ,half 
723,puhun ,I'm talking 
724,kestää ,take 
725,mahdollista ,possible 
726,aikana ,during 
727,ruokaa ,food 
728,uutta ,new 
729,yritin ,i tried 
730,katsoa ,look 
731,verta ,blood 
732,kestä ,endure 
733,onkin ,it is 
734,olekin ,I am 
735,lupaan ,I promise 
736,presidentti ,president 
737,istu ,sit down 
738,hyviä ,good ones 
739,tekevät ,they do 
740,täynnä ,full 
741,hoidan ,I'll take care 
742,tekstityksen ,subtitles 
743,sä ,you 
744,charlie ,Charlie 
745,vaikea ,difficult 
746,etsin ,viewfinder 
747,vaimoni ,my wife 
748,auton ,car 
749,naimisiin ,get married 
750,liikettä ,movement 
751,tytön ,a girl 
752,elämä ,life 
753,tiedäthän ,you know 
754,auki ,open 
755,sinäkin ,you too 
756,saimme ,we got 
757,varo ,precautionary 
758,kaikkia ,everyone 
759,taida ,guess 
760,kenen ,whose 
761,tehtävä ,task 
762,elämäni ,my life 
763,sanotaan ,it is said 
764,kultaseni ,sweetheart 
765,agentti ,agent 
766,puolesta ,on behalf of 
767,vettä ,water 
768,paikan ,place 
769,nuori ,young 
770,joko ,either 
771,ihmisten ,of people 
772,kusipää ,cunt 
773,muu ,other 
774,eversti ,colonel 
775,kaverit ,guys 
776,nimensä ,his name 
777,muuttaa ,change 
778,voittaa ,win 
779,onneksi ,fortunately 
780,näet ,you see 
781,luota ,from 
782,pitkä ,long 
783,alla ,below 
784,palata ,return 
785,tapauksessa ,case 
786,mukavaa ,nice 
787,saatte ,you can 
788,josta ,whereof 
789,uskomatonta ,beyond belief 
790,turvassa ,in security 
791,lapsia ,children 
792,ovatko ,are they 
793,tapan ,I will kill 
794,ystäviä ,friends 
795,jatkaa ,continue 
796,paikalla ,on the spot 
797,luottaa ,trust 
798,matkalla ,en route 
799,ottakaa ,take it 
800,olemassa ,exist 
801,tuonne ,there 
802,päällä ,on 
803,ympäri ,around 
804,ollaan ,let's be 
805,päin ,towards 
806,outoa ,strange 
807,töissä ,at work 
808,tilanne ,situation 
809,kaukana ,far 
810,päässä ,off 
811,kuolee ,dies 
812,väärässä ,wrong 
813,oman ,own 
814,paljonko ,how much 
815,Harry ,Harry 
816,ystävä ,friend 
817,numero ,number 
818,Jeesus ,Jesus 
819,pomo ,boss 
820,eihän ,no 
821,pelastaa ,save 
822,tulisi ,would come 
823,pyytää ,request 
824,lähti ,Lahti 
825,tuskin ,hardly 
826,velkaa ,indebted 
827,yleensä ,usually 
828,töihin ,to work 
829,jumalan ,of god 
830,kädet ,hands 
831,tytöt ,the girls 
832,näytän ,i show 
833,luultavasti ,probably 
834,edessä ,in front 
835,saisi ,would get 
836,loppu ,end 
837,kautta ,through 
838,jäljellä ,left 
839,haluaisi ,would like 
840,vaikuttaa ,influence 
841,jossain ,somewhere 
842,muutaman ,a few 
843,pitäkää ,keep 
844,paskaa ,crap 
845,maailma ,world 
846,iloinen ,cheerful 
847,paskat ,shit 
848,vaikeaa ,difficult 
849,sinähän ,it's you 
850,käynyt ,visited 
851,tuosta ,of that 
852,pelkää ,be afraid 
853,kunnon ,good 
854,olenko ,am i 
855,eteenpäin ,ahead 
856,itsensä ,itself 
857,seuraava ,next 
858,miksei ,why not 
859,alkoi ,started 
860,jotkut ,some 
861,huolta ,care 
862,helppoa ,easy 
863,haluamme ,we want 
864,kerta ,time 
865,pääsi ,flagstone 
866,kerroin ,factor 
867,itsesi ,yourself 
868,yhteen ,together 
869,loppuun ,out 
870,FBI ,FBI 
871,haista ,smell 
872,mahtava ,spectacular 
873,sentään ,yet 
874,jatka ,jack 
875,idea ,idea 
876,todellakin ,indeed 
878,toista ,repeat 
879,ikävä ,tedious 
880,tom ,Tom 
881,alle ,under 
882,puhuu ,speaks 
883,olkoon ,so be it 
884,luona ,by 
885,tosiaan ,really 
886,veljeni ,my brother 
887,myöhässä ,late 
888,häneltä ,from her 
889,seis ,Stop 
890,ajaa ,drive 
891,itseäsi ,yourself 
892,aiotko ,Are you going to 
893,mike ,Mike 
894,minuutin ,a minute 
895,saavat ,get 
896,etsi ,search 
897,syö ,eat 
898,itseni ,myself 
899,huoli ,worry 
900,kohti ,towards 
901,vien ,export 
902,eräs ,one 
903,pysykää ,stay 
904,nouse ,get up 
905,alan ,industry 
906,syy ,reason 
907,miehiä ,men 
908,seitsemän ,seven 
909,ymmärtää ,understand 
910,rakastaa ,love 
911,haittaa ,harm 
912,ammu ,shoot 
913,ajattele ,Just think 
914,katsotaan ,wait and see 
915,yritti ,tried 
916,yhteyttä ,contact us 
917,jutella ,chat 
918,haen ,I apply 
919,kuukautta ,months 
920,välillä ,between 
921,David ,David 
922,puolella ,on the side of 
923,kuluttua ,after 
924,muutama ,one or two 
925,sisälle ,inside 
926,melko ,quite 
927,niinpä ,so 
928,käytä ,use 
929,pysyä ,stay 
930,ettekö ,don't you 
931,ystäväsi ,your friend 
932,yönä ,at night 
933,syödä ,eat 
934,kuulu ,belong 
935,miljoonaa ,million 
936,viikon ,a week 
937,samalla ,in the process 
938,pojan ,of a boy 
939,Jimmy ,Jimmy 
940,peter ,peter 
941,häivy ,Get lost 
942,Joe ,Joe 
943,selville ,find out 
944,jutun ,the thing 
945,pitkään ,long 
946,odotan ,I'm waiting 
947,George ,George 
948,selittää ,explain 
949,taidan ,I guess 
950,kysy ,ask 
951,vihainen ,mad 
952,illalla ,in the evening 
953,suomennos ,Finnish translation 
954,viimeksi ,last 
955,mennyt ,gone 
956,onpa ,it is 
957,tekisi ,would do 
958,laittaa ,put 
959,-vuotias ,-year old 
960,minähän ,it's me 
961,kuulemma ,reportedly 
962,mielestäni ,I think 
963,viikkoa ,a week 
964,kuningas ,king 
965,lähtien ,since 
966,vihaan ,i hate 
967,ostaa ,buy 
968,täydellinen ,perfect 
969,tyhmä ,stupid 
970,kahdeksan ,eight 
971,usein ,often 
972,kertoo ,tells 
973,kohtaan ,towards 
974,selvää ,clear 
975,hetkellä ,at the moment 
976,katson ,I look 
977,ajatus ,idea 
978,pitäisikö ,should 
979,james ,james 
980,tietoa ,information 
981,ketä ,who 
982,rauhaan ,in peace 
983,totuus ,truth 
984,ben ,ben 
985,hae ,apply 
986,sattuu ,it hurts 
987,auttakaa ,please help 
988,mentävä ,to go 
989,idiootti ,idiot 
990,tarjoaa ,offers 
991,kaikesta ,of everything 
992,kaupungin ,town's 
993,pidätkö ,do you like 
994,kiitoksia ,thank you 
995,aloittaa ,start 
996,millainen ,what kind of 
997,tärkeä ,important 
998,mieheni ,my husband 
999,pelkkä ,mere 
1000,saman ,the same 
1001,helvettiin ,to hell 
1002,rakas ,love 
1003,talon ,the house 
1004,tekemistä ,things to do 
1005,oltava ,to be 
1006,tällaista ,like this 
1007,rauhallisesti ,quietly 
1008,talo ,house 
1009,tapaamaan ,to meet 
1010,soitti ,called 
1011,tekeillä ,afoot 
1012,turpa ,chub 
1013,tv ,TV 
1014,koira ,dog 
1015,pää ,head 
1016,mestari ,Master 
1017,keitä ,who 
1018,viikolla ,during the week 
1019,pääsee ,can be reached 
1020,varovainen ,careful 
1021,näkee ,sees 
1022,johtaa ,lead 
1023,lähdemme ,we're leaving 
1024,enpä ,I don't 
1025,hittoa ,damn it 
1026,johtaja ,manager 
1027,the ,the 
1028,veli ,brother 
1029,kerralla ,at once 
1030,lähettää ,send 
1031,tietävät ,know 
1032,palaan ,I'll be back 
1033,ylpeä ,proud 
1034,suurin ,major 
1035,ampua ,shoot 
1036,tony ,Tony 
1037,jotenkin ,somehow 
1038,enempää ,any more 
1039,elämän ,life 
1040,sairas ,sick 
1041,naimisissa ,married 
1042,taakse ,behind 
1043,pääsemme ,we will get 
1044,tiedätte ,you know 
1045,uutisia ,news 
1046,vapaa ,free 
1047,kahvia ,coffee 
1048,kunnolla ,properly 
1049,tuohon ,to that 
1050,otti ,took 
1051,tietenkään ,of course 
1052,suunnitelma ,plan 
1053,autoon ,to the car 
1054,ellei ,unless 
1055,edelleen ,still 
1056,tajua ,realize 
1057,kovasti ,hard 
1058,onnellinen ,happy 
1059,jälleen ,again 
1060,vei ,took 
1061,annoin ,i gave 
1062,lopettakaa ,stop it 
1063,jätti ,giant 
1064,estää ,prevent 
1065,kauanko ,how long 
1066,pahaa ,bad 
1067,tarina ,story 
1068,elämää ,life 
1069,pane ,put 
1070,antanut ,given 
1071,tietä ,road 
1072,ihmistä ,people 
1073,voimmeko ,can we 
1074,musta ,black 
1075,ole ,don't be 
1076,kuuletko ,do you hear 
1077,tappanut ,killed 
1078,tiedättekö ,you know 
1079,mukaani ,along with me 
1080,rauhassa ,in peace 
1081,haluatteko ,do you want 
1082,sekuntia ,seconds 
1083,mietin ,I'm thinking 
1084,tarvitaan ,is needed 
1085,koske ,touch 
1086,tunnet ,you know 
1087,helvetissä ,in hell 
1088,ilta ,evening 
1089,mun ,mine 
1090,mahdollisuus ,possibility 
1091,lääkäri ,doctor 
1092,käyn ,i'm going 
1093,tyttäreni ,my daughter 
1094,äidin ,maternal 
1095,asiasta ,about the matter 
1096,pääset ,you can 
1097,tarkoitus ,purpose 
1098,lähetti ,messenger 
1099,Paul ,Paul 
1100,laske ,calculate 
1101,alusta ,chassis 
1102,loistavaa ,brilliant 
1103,millä ,whereby 
1104,esiin ,out 
1105,viesti ,message 
1106,aja ,drive 
1107,yrität ,you try 
1108,vannon ,i swear 
1109,max ,max 
1110,oikoluku ,proofreading 
1111,loistava ,glorious 
1112,ajatella ,to think 
1113,ilmeisesti ,apparently 
1114,herää ,Wake up 
1115,arvaa ,guess 
1116,iltaa ,evening 
1117,painu ,depression 
1118,äkkiä ,short 
1119,bob ,bob 
1120,ajatellut ,thought about 
1121,nukkumaan ,to sleep 
1122,vieläkin ,even 
1123,totuuden ,the truth 
1124,osaan ,I can 
1125,otetaan ,will be taken 
1126,yön ,night 
1127,näitkö ,Did you see 
1128,taisi ,I guess 
1129,sekaisin ,tumbled 
1130,tiesi ,knew 
1131,eteen ,in front of 
1132,onnistu ,succeed 
1133,hyvän ,good 
1134,perhe ,family 
1135,teimme ,we did 
1136,eroon ,get rid of 
1137,näkemiin ,Goodbye 
1138,tahdon ,I want to 
1139,vuosi ,year 
1140,löydä ,find 
1141,ihmisen ,human 
1142,viekää ,take it 
1143,olekaan ,I'm not 
1144,mahdotonta ,out 
1145,juokse ,run 
1146,isän ,paternal 
1147,ainakaan ,at least 
1148,muiden ,others 
1149,mitäs ,what 
1150,mihinkään ,anywhere 
1151,kuunnelkaa ,listen 
1152,halusit ,you wanted 
1153,uskonut ,believed 
1154,maailmassa ,in the world 
1155,puhutaan ,let's talk 
1156,selvittää ,sort out 
1157,jake ,verse 
1158,vuosia ,for years 
1159,olisivat ,would be 
1160,löytyy ,can be found 
1161,unta ,sleep 
1162,vaimo ,wife 
1163,otin ,i took 
1164,etsimään ,to look for 
1165,hra ,Mr 
1166,maassa ,on the ground 
1167,oven ,the door 
1168,etsiä ,search 
1169,tri ,dr 
1170,Alex ,Alex 
1171,kaikista ,of all 
1172,jostain ,from something 
1173,kolmen ,three 
1174,näki ,saw 
1175,tehneet ,have done 
1176,kätesi ,your hand 
1177,omaa ,own 
1178,tiesit ,you knew 
1179,paikkaa ,place 
1180,tuoda ,bring 
1181,asuu ,lives 
1182,enkö ,don't i 
1183,avulla ,through 
1184,puhunut ,spoke 
1185,puhumaan ,to talk 
1186,leikkiä ,play 
1187,pitävät ,like 
1188,jokaisen ,each one 
1189,pidetään ,is held 
1190,tähden ,for the sake of 
1191,tien ,road 
1192,peli ,game 
1193,sun ,sun 
1194,tälle ,for this 
1195,sota ,war 
1196,päähän ,on 
1197,noita ,witch 
1198,löysimme ,we found 
1199,Johnny ,Johnny 
1200,menin ,i went 
1201,hyvästi ,Goodbye 
1202,näistä ,of these 
